,观点,情感倾向,具体观点,评论原文,token数,推理时间
0,味道好,正面,塔可味道还可以，如果吃辣的话,- 鸡肉帕尼尼太咸啦，而且很小，我觉得不值这个价塔可味道还可以，如果吃辣的话蛋挞倒是挺好吃,1455,6.949235916
1,牛蛙味道辣,中性,牛蛙泰酷辣,- 牛蛙泰酷辣,1403,7.14881587
2,牛蛙有骨头,负面,谁家塔可吐骨头啊,- 谁家塔可吐骨头啊,1406,9.278687954
3,牛蛙肉量少,负面,塔可的肉很小,- 塔可的肉很小，且厚，咬起来有声响,1416,9.332313061
4,牛蛙肉质硬,负面,且厚，咬起来有声响,- 塔可的肉很小，且厚，咬起来有声响,1416,9.332313061
5,综合评价好,正面,牛蛙塔可 很OK,- 牛蛙塔可 很OK 孩子很喜欢 下次还来吃,1417,4.469134092
6,牛蛙有骨头,负面,牛蛙塔可里面的牛蛙为什么不去骨啊,- 牛蛙塔可里面的牛蛙为什么不去骨啊,1418,5.978162766
7,牛蛙新鲜度差,负面,牛蛙还是生的……,- 牛蛙还是生的……,1401,6.511026859
8,综合评价好,正面,牛蛙塔可很好吃,- 牛蛙塔可很好吃,1404,6.175352097
9,鸡排炸得过度,负面,塔克炸过了,- 塔克炸过了，整个又干又硬,1412,9.151070118
10,鸡排口感硬,负面,整个又干又硬,- 塔克炸过了，整个又干又硬,1412,9.151070118
11,综合评价好,正面,牛蛙塔可还不错哦,- 牛蛙塔可还不错哦,1404,6.353506804
12,味道好,正面,新品牛蛙塔可味道很不错,- 新品牛蛙塔可味道很不错,1408,4.98613596
13,牛蛙肉质硬,负面,牛蛙肉里面生的,- 牛蛙肉里面生的，鸡翅里面生的，无语 [汗]丢了,1423,12.47365785
14,鸡排口感硬,负面,鸡翅里面生的,- 牛蛙肉里面生的，鸡翅里面生的，无语 [汗]丢了,1423,12.47365785
15,综合评价差,负面,无语 [汗]丢了,- 牛蛙肉里面生的，鸡翅里面生的，无语 [汗]丢了,1423,12.47365785
16,综合评价好,正面,塔可好好吃,- 塔可好好吃,1399,4.005587816
17,份量小,负面,塔可好小，没我巴掌大,- 塔可好小，没我巴掌大,1405,5.097016096
18,综合评价好,正面,塔可不错,- 塔可不错,1397,6.691638947
19,综合评价好,正面,新塔可好吃,- 新塔可好吃,1398,4.617904902
